	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
15:44:38:719	0	0	0	0	0	0	0	0	0
15:44:38:843	0	0	0	0	0	0	0	0	0
15:44:38:934	0	0	0	0	0	0	0	0	0
15:44:39:44	0	0	0	0	0	0	0	0	0
15:44:39:132	0	0	0	0	0	0	0	0	0
15:44:39:257	0	0	0	0	0	0	0	0	0
15:44:39:365	0	0	0	0	0	0	0	0	0
15:44:39:472	0	0	0	0	0	0	0	0	0
15:44:39:583	0	0	0	0	0	0	0	0	0
15:44:39:683	0	0	0	0	0	0	0	0	0
15:44:39:794	0	0	0	0	0	0	0	0	0
15:44:39:917	0	0	0	0	0	0	0	0	0
15:44:40:29	0	0	0	0	0	0	0	0	0
15:44:40:128	0	0	0	0	0	0	0	0	0
15:44:40:243	0	0	0	0	0	0	0	0	0
15:44:40:342	0	0	0	0	0	0	0	0	0
15:44:40:461	0	0	0	0	0	0	0	0	0
15:44:40:577	0	0	0	0	0	0	0	0	0
15:44:40:677	0	0	0	0	0	0	0	0	0
15:44:40:777	0	0	0	0	0	0	0	0	0
15:44:40:908	0	0	0	0	0	0	0	0	0
15:44:40:998	0	0	0	0	0	0	0	0	0
15:44:41:98	0	0	0	0	0	0	0	0	0
15:44:41:222	0	0	0	0	0	0	0	0	0
15:44:41:316	0	0	0	0	0	0	0	0	0
15:44:41:463	0	0	0	0	0	0	0	0	0
15:44:41:542	0	0	0	0	0	0	0	0	0
15:44:41:649	0	0	0	0	0	0	0	0	0
15:44:41:781	0	0	0	0	0	0	0	0	0
15:44:41:871	0	0	0	0	0	0	0	0	0
15:44:41:974	0	0	0	0	0	0	0	0	0
15:44:42:101	0	0	0	0	0	0	0	0	0
15:44:42:226	0	0	0	0	0	0	0	0	0
15:44:42:346	0	0	0	0	0	0	0	0	0
15:44:42:446	0	0	0	0	0	0	0	0	0
15:44:42:561	0	0	0	0	0	0	0	0	0
15:44:42:661	0	0	0	0	0	0	0	0	0
15:44:42:767	0	0	0	0	0	0	0	0	0
15:44:42:909	0	0	0	0	0	0	0	0	0
15:44:42:996	0	0	0	0	0	0	0	0	0
15:44:43:97	0	0	0	0	0	0	0	0	0
15:44:43:213	0	0	0	0	0	0	0	0	0
15:44:43:343	0	0	0	0	0	0	0	0	0
15:44:43:414	0	0	0	0	0	0	0	0	0
15:44:43:528	0	0	0	0	0	0	0	0	0
15:44:43:642	0	0	0	0	0	0	0	0	0
15:44:43:741	0	0	0	0	0	0	0	0	0
15:44:43:855	0	0	0	0	0	0	0	0	0
15:44:43:968	0	0	0	0	0	0	0	0	0
15:44:44:79	0	0	0	0	0	0	0	0	0
15:44:44:189	0	0	0	0	0	0	0	0	0
15:44:44:302	0	0	0	0	0	0	0	0	0
15:44:44:397	0	0	0	0	0	0	0	0	0
15:44:44:518	0	0	0	0	0	0	0	0	0
15:44:44:623	0	0	0	0	0	0	0	0	0
15:44:44:740	0	0	0	0	0	0	0	0	0
15:44:44:832	0	0	0	0	0	0	0	0	0
15:44:44:959	0	0	0	0	0	0	0	0	0
15:44:45:73	0	0	0	0	0	0	0	0	0
15:44:45:195	0	0	0	0	0	0	0	0	0
15:44:45:284	0	0	0	0	0	0	0	0	0
15:44:45:385	0	0	0	0	0	0	0	0	0
15:44:45:502	0	0	0	0	0	0	0	0	0
15:44:45:596	0	0	0	0	0	0	0	0	0
15:44:45:709	0	0	0	0	0	0	0	0	0
15:44:45:817	0	0	0	0	0	0	0	0	0
15:44:45:951	0	0	0	0	0	0	0	0	0
15:44:46:69	0	0	0	0	0	0	0	0	0
15:44:46:190	0	0	0	0	0	0	0	0	0
