	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
10:23:22:761	0	0	0	0	0	0	0	0	0
10:23:22:873	0	0	0	0	0	0	0	0	0
10:23:22:982	0	0	0	0	0	0	0	0	0
10:23:23:82	0	0	0	0	0	0	0	0	0
10:23:23:184	0	0	0	0	0	0	0	0	0
10:23:23:294	0	0	0	0	0	0	0	0	0
10:23:23:420	0	0	0	0	0	0	0	0	0
10:23:23:541	0	0	0	0	0	0	0	0	0
10:23:23:629	0	0	0	0	0	0	0	0	0
10:23:23:731	0	0	0	0	0	0	0	0	0
10:23:23:847	0	0	0	0	0	0	0	0	0
10:23:23:950	0	0	0	0	0	0	0	0	0
10:23:24:78	0	0	0	0	0	0	0	0	0
10:23:24:181	0	0	0	0	0	0	0	0	0
10:23:24:282	0	0	0	0	0	0	0	0	0
10:23:24:406	0	0	0	0	0	0	0	0	0
10:23:24:506	0	0	0	0	0	0	0	0	0
10:23:24:612	0	0	0	0	0	0	0	0	0
10:23:24:717	0	0	0	0	0	0	0	0	0
10:23:24:826	0	0	0	0	0	0	0	0	0
10:23:24:949	0	0	0	0	0	0	0	0	0
10:23:25:39	0	0	0	0	0	0	0	0	0
10:23:25:160	0	0	0	0	0	0	0	0	0
10:23:25:269	0	0	0	0	0	0	0	0	0
10:23:25:374	0	0	0	0	0	0	0	0	0
10:23:25:487	0	0	0	0	0	0	0	0	0
10:23:25:586	0	0	0	0	0	0	0	0	0
10:23:25:701	0	0	0	0	0	0	0	0	0
10:23:25:813	0	0	0	0	0	0	0	0	0
10:23:25:921	0	0	0	0	0	0	0	0	0
10:23:26:25	0	0	0	0	0	0	0	0	0
10:23:26:156	0	0	0	0	0	0	0	0	0
10:23:26:247	0	0	0	0	0	0	0	0	0
10:23:26:374	0	0	0	0	0	0	0	0	0
10:23:26:470	0	0	0	0	0	0	0	0	0
10:23:26:574	0	0	0	0	0	0	0	0	0
10:23:26:677	0	0	0	0	0	0	0	0	0
10:23:26:810	0	0	0	0	0	0	0	0	0
10:23:26:930	0	0	0	0	0	0	0	0	0
10:23:27:19	0	0	0	0	0	0	0	0	0
